sl_no,hsc_p,degree_p,etest_p,mba_p,salary,gender_F,gender_M,hsc_s_Arts,hsc_s_Commerce,hsc_s_Science,degree_t_Comm&Mgmt,degree_t_Others,degree_t_Sci&Tech,specialisation_Mkt&Fin,specialisation_Mkt&HR
1,91.0,58.0,55.0,58.8,270000.0,0,1,0,1,0,0,0,1,0,1
2,78.33,77.48,86.5,66.28,200000.0,0,1,0,0,1,0,0,1,1,0
3,,64.0,75.0,57.8,250000.0,0,1,1,0,0,1,0,0,1,0
4,52.0,,66.0,59.43,,0,1,0,0,1,0,0,1,0,1
5,73.6,73.3,96.8,55.5,425000.0,0,1,0,1,0,1,0,0,1,0
6,49.8,67.25,55.0,51.58,,0,1,0,0,1,0,0,1,1,0
7,49.2,79.0,74.28,53.29,,1,0,0,1,0,1,0,0,1,0
8,64.0,66.0,67.0,62.14,252000.0,0,1,0,0,1,0,0,1,1,0
9,79.0,72.0,91.34,61.29,231000.0,0,1,0,1,0,1,0,0,1,0
10,70.0,61.0,54.0,52.21,,0,1,0,1,0,1,0,0,1,0
11,,60.0,62.0,60.85,260000.0,0,1,0,1,0,1,0,0,0,1
12,68.4,78.3,60.0,63.7,250000.0,0,1,0,1,0,1,0,0,1,0
13,55.0,65.0,62.0,65.04,,1,0,0,0,1,1,0,0,0,1
14,87.0,59.0,68.0,68.63,218000.0,1,0,0,1,0,1,0,0,1,0
15,,50.0,76.0,54.96,,0,1,0,1,0,1,0,0,0,1
16,75.0,69.0,72.0,64.66,200000.0,1,0,0,1,0,1,0,0,1,0
17,66.2,65.6,60.0,62.54,300000.0,0,1,0,1,0,1,0,0,1,0
18,67.0,64.0,60.0,,,1,0,0,1,0,1,0,0,1,0
19,,64.0,68.0,64.08,,1,0,0,1,0,1,0,0,0,1
20,67.0,,50.48,77.89,236000.0,0,1,1,0,0,1,0,0,1,0
21,65.0,66.0,50.0,56.7,265000.0,0,1,0,1,0,1,0,0,0,1
22,76.0,85.0,95.0,69.06,393000.0,1,0,0,1,0,1,0,0,1,0
23,60.8,72.23,55.53,68.81,360000.0,1,0,0,0,1,0,0,1,0,1
24,60.0,64.74,92.0,63.62,300000.0,1,0,0,0,1,0,0,1,1,0
25,97.7,78.86,97.4,74.01,360000.0,0,1,0,0,1,0,0,1,1,0
26,54.6,50.2,76.0,65.33,,1,0,0,1,0,1,0,0,1,0
27,79.0,66.0,94.0,57.55,240000.0,0,1,0,1,0,1,0,0,1,0
28,67.0,66.0,68.0,57.69,265000.0,0,1,0,1,0,1,0,0,0,1
29,76.5,67.5,73.35,64.15,350000.0,0,1,0,1,0,1,0,0,1,0
30,67.0,58.0,77.0,51.29,,0,1,0,1,0,1,0,0,1,0
31,73.5,73.0,52.0,56.7,250000.0,1,0,0,1,0,1,0,0,0,1
32,53.0,65.0,64.0,58.32,,1,0,0,0,1,0,0,1,0,1
33,81.0,66.4,50.89,62.21,278000.0,1,0,0,1,0,1,0,0,0,1
34,65.0,81.0,88.0,72.78,260000.0,1,0,0,0,1,1,0,0,1,0
35,51.0,52.0,68.44,62.77,,0,1,0,0,1,0,1,0,0,1
36,78.0,72.0,71.0,62.74,300000.0,1,0,0,1,0,1,0,0,0,1
37,44.0,57.0,64.0,51.45,,0,1,0,1,0,1,0,0,1,0
38,76.0,65.6,58.0,55.47,320000.0,1,0,0,0,1,0,0,1,0,1
39,58.0,66.0,53.7,56.86,240000.0,1,0,0,0,1,1,0,0,0,1
40,68.0,64.0,93.0,62.56,411000.0,0,1,0,0,1,0,0,1,1,0
41,77.0,80.0,60.0,66.72,287000.0,1,0,0,1,0,1,0,0,1,0
42,63.16,65.0,65.0,69.76,,1,0,0,1,0,1,0,0,0,1
43,39.0,65.0,63.0,51.21,,0,1,0,0,1,0,1,0,1,0
44,87.0,68.0,95.0,62.9,300000.0,0,1,0,1,0,1,0,0,0,1
45,73.0,81.0,89.0,69.7,200000.0,1,0,0,1,0,1,0,0,1,0
46,64.0,72.0,,66.53,,1,0,0,0,1,0,0,1,0,1
47,71.98,65.6,68.0,71.63,,1,0,0,0,1,1,0,0,0,1
48,60.0,57.0,78.0,54.55,204000.0,0,1,0,1,0,1,0,0,1,0
49,62.0,68.0,64.0,62.46,250000.0,0,1,0,1,0,1,0,0,1,0
50,37.0,52.0,65.0,56.11,,1,0,1,0,0,0,1,0,0,1
51,73.2,68.4,65.0,62.98,200000.0,1,0,0,0,1,1,0,0,0,1
52,61.12,56.2,67.0,62.65,,0,1,0,1,0,1,0,0,0,1
53,45.83,53.0,,65.49,,1,0,0,1,0,1,0,0,0,1
54,70.0,72.0,87.0,71.04,450000.0,0,1,0,0,1,0,0,1,0,1
55,60.0,69.0,,65.56,216000.0,1,0,0,0,1,1,0,0,0,1
56,66.6,65.0,71.0,52.71,220000.0,0,1,0,0,1,1,0,0,0,1
57,71.4,61.4,68.0,66.88,240000.0,0,1,0,1,0,1,0,0,1,0
58,76.0,74.0,80.0,63.59,360000.0,0,1,0,1,0,1,0,0,1,0
59,62.0,68.0,74.0,57.99,268000.0,0,1,0,0,1,1,0,0,1,0
60,65.58,72.11,57.6,56.66,265000.0,0,1,0,0,1,0,0,1,1,0
61,70.0,72.0,60.0,57.24,260000.0,0,1,0,0,1,1,0,0,1,0
62,73.4,66.89,61.6,62.48,300000.0,0,1,0,1,0,1,0,0,1,0
63,64.2,67.4,59.0,59.69,240000.0,1,0,0,0,1,0,0,1,1,0
64,70.0,64.0,68.5,59.5,,0,1,0,1,0,1,0,0,0,1
65,73.0,75.0,61.0,58.78,240000.0,0,1,0,1,0,1,0,0,1,0
66,47.0,57.0,89.69,57.1,,0,1,0,0,1,1,0,0,0,1
67,74.0,66.0,68.92,58.46,275000.0,0,1,0,0,1,1,0,0,0,1
68,78.5,67.0,68.71,60.99,275000.0,0,1,0,1,0,1,0,0,1,0
69,47.0,72.7,79.0,59.24,,1,0,0,1,0,0,0,1,0,1
70,73.0,66.0,70.0,68.07,275000.0,0,1,0,0,1,0,0,1,1,0
71,61.0,62.0,89.0,65.45,360000.0,0,1,0,0,1,0,0,1,1,0
