sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,gender_0,gender_1
1,0.8570514188180074,1,0.05714285714285716,2,0.10416666666666663,1,58.8,0.0945945945945946,False,True
2,0.5867292511201195,2,0.6137142857142859,2,0.7604166666666667,0,66.28,0.0,False,True
3,0.4090226245137384,0,0.2285714285714286,0,0.5208333333333334,0,57.8,0.06756756756756757,False,True
5,0.48581181992745887,1,0.4942857142857142,0,0.9750000000000001,0,55.5,0.30405405405405406,False,True
8,0.28098997226370814,2,0.28571428571428575,2,0.3541666666666667,0,62.14,0.07027027027027027,False,True
9,0.6010241092383188,1,0.4571428571428572,0,0.8612500000000001,0,61.29,0.04189189189189191,False,True
11,0.4090226245137384,1,0.1142857142857143,0,0.25,1,60.85,0.08108108108108109,False,True
12,0.37486665244292744,1,0.6371428571428571,0,0.20833333333333337,0,63.7,0.06756756756756757,False,True
14,0.7717089822914445,1,0.08571428571428574,0,0.375,0,68.63,0.024324324324324326,True,False
16,0.515681672711756,1,0.37142857142857144,0,0.45833333333333337,0,64.66,0.0,True,False
17,0.3279283123533178,1,0.27428571428571413,0,0.20833333333333337,0,62.54,0.13513513513513514,False,True
20,0.3449967996586303,0,,0,0.009999999999999898,0,77.89,0.048648648648648665,False,True
21,0.3023255813953489,1,0.28571428571428575,0,0.0,1,56.7,0.08783783783783786,False,True
22,0.5370172818433967,1,0.8285714285714287,0,0.9375000000000001,0,69.06,0.2608108108108108,True,False
23,0.21271602304245785,2,0.46371428571428586,2,0.11520833333333336,1,68.81,0.21621621621621623,True,False
24,0.19564753573714533,2,0.2497142857142856,2,0.875,0,63.62,0.13513513513513514,True,False
25,1.0000000000000002,2,0.6531428571428572,2,0.9875000000000002,0,74.01,0.21621621621621623,False,True
27,0.6010241092383188,1,0.28571428571428575,0,0.9166666666666667,0,57.55,0.05405405405405406,False,True
28,0.3449967996586303,1,0.28571428571428575,0,0.375,1,57.69,0.08783783783783786,False,True
29,0.5476850864092171,1,0.3285714285714286,0,0.48645833333333327,0,64.15,0.20270270270270274,False,True
31,0.48367825901429495,1,0.48571428571428577,0,0.041666666666666685,1,56.7,0.06756756756756757,True,False
33,0.6436953275016002,1,0.2971428571428573,0,0.01854166666666668,1,62.21,0.10540540540540541,True,False
34,0.3023255813953489,2,0.7142857142857144,0,0.7916666666666667,0,72.78,0.08108108108108109,True,False
36,0.579688500106678,1,0.4571428571428572,0,0.43750000000000006,1,62.74,0.13513513513513514,True,False
38,0.5370172818433967,2,0.27428571428571413,2,0.16666666666666669,1,55.47,0.16216216216216217,True,False
39,0.15297631747386392,2,0.28571428571428575,0,0.07708333333333339,1,56.86,0.05405405405405406,True,False
40,0.366332408790271,2,0.2285714285714286,2,0.8958333333333335,0,62.56,0.28513513513513516,False,True
41,0.5583528909750374,1,0.6857142857142857,0,0.20833333333333337,0,66.72,0.11756756756756757,True,False
44,0.7717089822914445,1,0.34285714285714286,0,0.9375000000000001,1,62.9,0.13513513513513514,False,True
45,0.47301045444847456,1,0.7142857142857144,0,0.8125,0,69.7,0.0,True,False
48,0.19564753573714533,1,0.028571428571428525,0,0.5833333333333334,0,54.55,0.00540540540540542,False,True
49,0.23831875400042676,1,0.34285714285714286,0,0.2916666666666667,0,62.46,0.06756756756756757,False,True
51,0.4772775762748028,2,0.3542857142857145,0,0.3125,1,62.98,0.0,True,False
54,0.4090036270535524,2,0.4571428571428572,2,0.7708333333333334,1,71.04,0.33783783783783783,False,True
55,0.19564753573714533,2,0.37142857142857144,0,,1,65.56,0.021621621621621637,True,False
56,0.3364625560059739,2,0.2571428571428572,0,0.43750000000000006,1,52.71,0.02702702702702703,False,True
57,0.4388734798378495,1,0.15428571428571425,0,0.375,0,66.88,0.05405405405405406,False,True
58,0.5370172818433967,1,0.5142857142857143,0,0.625,0,63.59,0.21621621621621623,False,True
59,0.23831875400042676,2,0.34285714285714286,0,0.5,0,57.99,0.0918918918918919,False,True
60,0.3147002346917005,2,0.4602857142857143,2,0.15833333333333338,0,56.66,0.08783783783783786,False,True
61,0.4090036270535524,2,0.4571428571428572,0,0.20833333333333337,0,57.24,0.08108108108108109,False,True
62,0.481544698101131,1,0.31114285714285717,0,0.2416666666666667,0,62.48,0.13513513513513514,False,True
63,0.2852570940900364,2,0.3257142857142859,2,0.1875,0,59.69,0.05405405405405406,True,False
65,0.47301045444847456,1,0.5428571428571429,0,0.22916666666666669,0,58.78,0.05405405405405406,False,True
67,0.4943460635801153,2,0.28571428571428575,0,0.3941666666666667,1,58.46,0.10135135135135136,False,True
68,0.5903563046724984,1,0.31428571428571433,0,0.3897916666666666,0,60.99,0.10135135135135136,False,True
70,0.47301045444847456,2,0.28571428571428575,2,0.4166666666666667,0,68.07,0.10135135135135136,False,True
71,0.21698314486878606,2,0.17142857142857143,2,0.8125,0,65.45,0.21621621621621623,False,True
72,0.41519095370172837,1,0.4285714285714286,0,0.9375000000000001,0,66.94,0.05405405405405406,False,True
73,0.3449967996586303,2,0.6285714285714287,0,0.9479166666666667,0,68.53,0.05405405405405406,False,True
74,0.7040751013441433,1,0.4491428571428572,0,0.75,0,59.75,0.024324324324324326,False,True
75,0.29805845956902066,1,0.4057142857142858,0,0.7139583333333333,0,67.2,0.1837837837837838,False,True
77,0.41753787070620885,0,0.4551428571428574,0,0.22916666666666669,0,64.27,0.04054054054054054,True,False
78,0.6223597183699595,2,0.2571428571428572,2,0.39583333333333337,0,57.65,0.4054054054054055,False,True
79,0.8549178579048433,2,0.24285714285714288,2,0.7508333333333335,0,59.42,0.0945945945945946,False,True
81,0.23831875400042676,1,0.37142857142857144,0,0.3541666666666667,1,62.35,0.05405405405405406,True,False
82,0.25965436313206747,2,0.31428571428571433,0,0.75,0,70.2,0.13513513513513514,False,True
84,0.6010241092383188,2,0.34285714285714286,2,0.7083333333333334,0,66.69,0.13513513513513514,False,True
85,0.25965436313206747,2,0.4,2,0.10416666666666663,0,62.0,0.13513513513513514,False,True
86,0.8320887561339876,1,0.6057142857142859,0,0.5987499999999999,0,76.18,0.2702702702702703,True,False
87,0.25965436313206747,1,0.2285714285714286,0,0.3541666666666667,0,57.03,0.02702702702702703,False,True
89,0.23831875400042676,1,0.48571428571428577,0,0.16666666666666669,1,64.36,0.013513513513513514,True,False
90,0.515681672711756,2,0.37142857142857144,2,0.25,1,62.36,0.013513513513513514,True,False
91,0.8357158096863666,1,0.742857142857143,0,0.875,0,68.03,0.13513513513513514,True,False
93,0.38766801792191175,2,0.28571428571428575,0,0.45833333333333337,0,59.47,0.04054054054054054,True,False
95,0.23831875400042676,1,0.2285714285714286,0,0.08083333333333342,0,54.97,0.08108108108108109,False,True
96,0.579688500106678,1,0.2571428571428572,0,0.9470833333333333,0,62.16,0.2972972972972973,False,True
97,0.4090036270535524,2,0.5714285714285715,0,0.33333333333333337,0,64.44,0.13513513513513514,True,False
99,0.47301045444847456,1,0.2571428571428572,0,0.4166666666666667,0,57.31,0.02702702702702703,True,False
102,0.4516748453168339,1,0.34285714285714286,0,0.5833333333333334,1,60.44,0.24324324324324326,False,True
103,0.21698314486878606,1,0.34285714285714286,0,0.15625,0,61.31,0.13513513513513514,True,False
104,0.579688500106678,2,0.48571428571428577,2,0.7291666666666667,1,65.83,0.05405405405405406,False,True
105,0.25965436313206747,2,0.2571428571428572,0,0.10416666666666663,1,58.23,0.21621621621621623,False,True
108,0.8357158096863666,1,0.7714285714285716,0,0.625,1,73.52,0.0,False,True
109,0.665030936633241,1,0.37142857142857144,0,0.7083333333333334,0,58.31,0.13513513513513514,False,True
111,0.4090036270535524,2,0.4571428571428572,2,0.15000000000000008,1,54.8,0.06756756756756757,True,False
113,0.21698314486878606,1,0.14285714285714288,0,0.16666666666666669,1,53.94,0.06756756756756757,False,True
114,0.6010241092383188,1,0.31428571428571433,0,0.46145833333333347,0,63.08,0.10810810810810811,True,False
115,0.366332408790271,2,0.37142857142857144,0,0.07708333333333339,1,55.01,0.06756756756756757,False,True
116,0.25965436313206747,2,0.28571428571428575,0,0.8125,0,60.5,0.021621621621621637,True,False
117,0.46874333262214635,1,0.3028571428571427,0,0.9583333333333335,0,70.85,0.13513513513513514,False,True
118,0.515681672711756,2,0.48571428571428577,2,0.625,0,67.05,0.05405405405405406,False,True
119,0.6223597183699595,2,0.6285714285714287,2,0.9791666666666667,1,70.48,0.10270270270270271,False,True
122,0.3449967996586303,2,0.38857142857142846,2,0.11812500000000009,1,71.49,0.06756756756756757,True,False
123,0.3407296778323021,0,0.37999999999999995,0,0.6333333333333335,0,71.0,0.048648648648648665,True,False
124,0.17431192660550465,1,0.48571428571428577,0,0.20833333333333337,1,56.7,0.05405405405405406,False,True
125,0.43033923618519315,2,0.23799999999999996,1,0.2916666666666667,1,61.26,0.06756756756756757,False,True
126,0.47301045444847456,1,0.48571428571428577,0,0.5208333333333334,0,73.33,0.20270270270270274,True,False
127,0.21698314486878606,2,0.5571428571428572,2,0.4166666666666667,0,68.2,0.013513513513513514,True,False
128,0.19564753573714533,2,0.37142857142857144,0,0.11458333333333331,1,58.4,0.06756756756756757,True,False
129,0.481544698101131,2,0.6205714285714286,2,0.6500000000000001,1,76.26,0.2702702702702703,False,True
130,0.8293151269468745,1,0.28571428571428575,0,0.8333333333333334,0,68.55,0.06756756756756757,False,True
132,0.13164070834222324,2,0.17142857142857143,1,0.625,0,60.78,0.21621621621621623,True,False
133,0.366332408790271,1,0.2285714285714286,0,0.5083333333333335,1,53.49,0.13513513513513514,False,True
134,0.28098997226370814,1,0.6000000000000001,0,0.3125,1,60.98,0.06756756756756757,False,True
135,0.878387027949648,1,0.4571428571428572,0,0.9166666666666667,0,67.13,0.06756756756756757,True,False
136,0.11030509921058251,2,0.37142857142857144,0,0.1166666666666667,1,65.63,0.0,True,False
138,0.25965436313206747,1,0.4571428571428572,0,0.125,1,60.41,0.033783783783783786,False,True
139,0.28098997226370814,2,0.48571428571428577,2,0.9583333333333335,0,71.77,0.06756756756756757,True,False
140,0.4090036270535524,1,0.08571428571428574,0,0.16666666666666669,0,54.43,0.02702702702702703,False,True
141,0.29805845956902066,1,0.38571428571428573,0,0.125,0,56.94,0.08783783783783786,False,True
143,0.19564753573714533,2,0.4980000000000002,2,0.20833333333333337,0,61.29,0.08108108108108109,False,True
144,0.2999786643908684,1,0.41914285714285726,0,0.8125,0,60.39,0.13513513513513514,False,True
146,0.31640708342223167,2,0.4357142857142857,2,0.45833333333333337,1,63.23,0.2702702702702703,False,True
147,0.25965436313206747,2,0.28571428571428575,0,0.7291666666666667,1,55.14,0.0445945945945946,False,True
148,0.4943460635801153,1,0.2571428571428572,0,0.6875,0,62.28,0.13513513513513514,False,True
149,0.7503733731598038,0,0.0,1,0.14583333333333331,0,64.08,0.05405405405405406,True,False
152,0.3023255813953489,1,0.5428571428571429,0,0.6875,0,58.87,0.0945945945945946,False,True
153,0.20631534030296572,2,0.8,2,1.0,0,65.25,0.05405405405405406,True,False
154,0.17431192660550465,2,0.2571428571428572,2,0.75,0,62.48,0.1891891891891892,False,True
155,0.25965436313206747,2,0.1142857142857143,0,0.4166666666666667,0,53.2,0.06756756756756757,False,True
157,0.3962022615745681,2,0.2571428571428572,2,0.625,1,52.72,0.07432432432432433,False,True
158,0.24898655856624713,1,0.13999999999999996,0,0.9041666666666668,0,55.03,0.13513513513513514,False,True
161,0.4943460635801153,2,0.2571428571428572,2,0.5208333333333334,1,72.29,0.13513513513513514,False,True
163,0.7845103477704287,1,0.6071428571428572,0,0.5250000000000001,0,66.06,0.11486486486486487,False,True
164,0.3449967996586303,2,0.2285714285714286,2,0.5208333333333334,0,66.46,0.4054054054054055,False,True
165,0.4623426498826542,1,0.21000000000000005,0,0.0633333333333333,0,65.52,0.06756756756756757,True,False
167,0.23831875400042676,1,0.1142857142857143,0,0.27083333333333337,1,52.38,0.05405405405405406,False,True
172,0.6223597183699595,1,0.4571428571428572,0,0.28729166666666667,0,66.04,0.12162162162162163,False,True
173,0.15297631747386392,1,0.0,0,0.7083333333333334,1,52.64,0.13513513513513514,False,True
175,0.0,2,0.2362857142857142,2,0.2916666666666667,0,66.23,0.4054054054054055,False,True
177,0.19564753573714533,1,0.0,0,0.10416666666666663,1,57.9,0.02702702702702703,True,False
179,0.11030509921058251,2,0.34285714285714286,2,0.4791666666666667,1,68.07,0.20270270270270274,False,True
181,0.4410070407510135,1,0.19428571428571423,0,0.14583333333333331,0,56.6,0.08783783783783786,False,True
184,0.5583528909750374,1,0.37142857142857144,0,0.20833333333333337,1,61.82,0.10270270270270271,False,True
186,0.4516748453168339,2,0.6285714285714287,1,0.6666666666666667,1,71.43,0.07027027027027027,True,False
188,0.31299338596116927,2,0.31428571428571433,2,0.9375000000000001,0,64.86,0.10810810810810811,False,True
192,0.21698314486878606,2,0.4571428571428572,0,0.45833333333333337,0,61.01,0.08648648648648649,False,True
193,0.22551738852144232,1,0.2514285714285714,0,0.9041666666666668,0,57.34,0.0945945945945946,False,True
194,0.25965436313206747,0,0.0,1,0.625,1,56.63,0.13513513513513514,True,False
196,0.5370172818433967,1,0.4571428571428572,0,0.7083333333333334,1,58.95,0.10135135135135136,False,True
197,0.25965436313206747,2,0.6142857142857143,2,0.5833333333333334,0,54.48,0.06756756756756757,False,True
198,0.046298271815660375,2,1.0,2,0.1941666666666667,1,69.71,0.08108108108108109,True,False
200,0.3023255813953489,1,0.028571428571428525,0,0.4791666666666667,1,55.8,0.08783783783783786,False,True
201,0.19564753573714533,1,0.2571428571428572,0,0.7822916666666666,0,52.81,0.13513513513513514,False,True
203,0.25965436313206747,2,0.28571428571428575,2,0.23500000000000004,1,60.11,0.05405405405405406,False,True
204,0.22402389588222746,1,0.0248571428571428,0,0.33333333333333337,1,58.3,0.08108108108108109,False,True
205,0.47301045444847456,1,0.48571428571428577,0,0.625,0,67.69,0.013513513513513514,True,False
206,0.23831875400042676,1,0.2571428571428572,0,0.25,0,56.81,0.06756756756756757,False,True
208,0.579688500106678,1,0.14285714285714288,0,0.8033333333333335,0,71.55,0.13513513513513514,False,True
210,0.4516748453168339,1,0.2571428571428572,0,0.3541666666666667,0,56.49,0.021621621621621637,False,True
211,0.665030936633241,1,0.617142857142857,0,0.8541666666666667,0,74.49,0.2702702702702703,False,True
212,0.19564753573714533,2,0.4571428571428572,2,0.5,0,53.62,0.10135135135135136,False,True
213,0.3449967996586303,1,0.48571428571428577,0,0.1875,0,69.72,0.1283783783783784,False,True
214,0.3236611905269896,1,0.05714285714285716,0,0.4166666666666667,1,60.23,0.00540540540540542,True,False
